name1,hall1,score1,name2,hall2,score2
Mike Ehrmantraut,1,139.75,Arya Stark,3,228.75
Saul Goodman,1,138,Cersei Lannister,3,230.5
Kim Wexler,1,261.5,Jaime Lannister,3,107
Gus Fring,1,305.75,Tyrion Lannister,3,62.75
Hank Schrader,1,48,Daenerys Targaryen,3,320.5
Severus Snape,4,343.75,BMO,2,24.75
Lord Voldemort,4,66.25,Jake the Dog,2,302.25
Ron Weasley,4,355.25,Flame Princess,2,13.25
Hermione Granger,4,66.5,Princess Bubblegum,2,302
Albus Dumbledore,4,187,Marceline,2,181.5
Lucas Sinclair,5,323.75,Paul Morphy,HallB,44.75
Joyce Byers,5,184,Emanuel Lasker,HallB,184.5
Will Byers,5,316.5,Tigran Petrosian,HallB,52
Jim Hopper,5,169.25,Alexander Alekhine,HallB,199.25
Eleven,5,43.75,Mikhail Tal,HallB,324.75
Teddy Roosevelt,HallA,,WALKOVER,,
Gandhi,HallA,,WALKOVER,,
Cleopatra,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
