name1,hall1,score1,name2,hall2,score2
Hank Schrader,1,214,Princess Bubblegum,2,154.5
Jesse Pinkman,1,88.75,Jake the Dog,2,279.75
Kim Wexler,1,184.25,Flame Princess,2,184.25
Mike Ehrmantraut,1,179.5,Finn the Human,2,189
Walter White,1,7.25,Ice King,2,361.25
Jaime Lannister,3,237.5,Harry Potter,4,131
Daenerys Targaryen,3,50.25,Ron Weasley,4,318.25
Jon Snow,3,188,Hermione Granger,4,180.5
Sansa Stark,3,289,Severus Snape,4,79.5
Cersei Lannister,3,213.75,Draco Malfoy,4,154.75
Will Byers,5,128.75,Gandhi,HallA,239.75
Dustin Henderson,5,44.75,Qin Shi Huang,HallA,323.75
Eleven,5,327,Teddy Roosevelt,HallA,41.5
Mike Wheeler,5,15,Cleopatra,HallA,353.5
Joyce Byers,5,,WALKOVER,HallA,
Jose Raul Capablanca,HallB,,WALKOVER,,
Paul Morphy,HallB,,WALKOVER,,
Tigran Petrosian,HallB,,WALKOVER,,
Alexander Alekhine,HallB,,WALKOVER,,
Mikhail Tal,HallB,,WALKOVER,,
