name1,hall1,score1,name2,hall2,score2
Hermione Granger,4,108.75,Barracuda,8,70.75
Severus Snape,4,115.25,Coral Reeves,8,33.5
Albus Dumbledore,4,,Finn Herring,8,TIMEOUT
Minerva McGonagall,4,105,Betta Splendens,8,171
Draco Malfoy,4,232.75,Dory Bluetang,8,158
Sansa Stark,3,263.75,Elliot Alderson,7,156.5
Eddard Stark,3,51,Angela Moss,7,127.25
Margarey Tyrell,3,171,Darlene Alderson,7,301.25
Sandor Clegane,3,122.5,Tyrell Wellick,7,201.75
Jaime Lannister,3,45.5,Gideon Goddard,7,186.25
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,100,Marceline,2,124.75
Jean-Claude Van Damme III,HallC,180.5,Princess Bubblegum,2,195.5
"O'Connell-Smythe, Padraig Seamus",HallC,225.25,Joyce Byers,2,232.75
X,HallC,87,Ice King,2,29.25
Bob,HallC,104,BMO,2,77.75
Marie Curie,HallA,38.5,Gus Fring,1,92.25
Teddy Roosevelt,HallA,146.75,Walter White,1,113
Georgia O'Keeffe,HallA,146.25,Mike Ehrmantraut,1,195
George Raymond Richard Martin,HallA,187.5,Skyler White,1,158.25
Paul Murphy,HallA,137,Saul Goodman,1,144.5
Paul Morphy,HallB,77.25,Loid Forger,6,205
Mikhail Tal,HallB,70.5,Yor Forger,6,119
Judit Polgar,HallB,37.5,Fiona Frost,6,79
Tigran Petrosian,HallB,159,Damian Desmond,6,239.75
Max Euwe,HallB,187.25,Franky Franklin,6,248.5
Dustin Henderson,5,,WALKOVER,,
Eleven,5,,WALKOVER,,
Lucas Sinclair,5,,WALKOVER,,
Mike Wheeler,5,,WALKOVER,,
Jim Hopper,5,,WALKOVER,,
