name1,hall1,score1,name2,hall2,score2
Sansa Stark,3,152.75,Princess Bubblegum,2,98.75
Eddard Stark,3,266.75,Jake the Dog,2,148.75
Brienne of Tarth,3,TIMEOUT,Finn the Human,2,
Margaery Tyrell,3,130.75,Joyce Byers,2,270
Theon Greyjoy,3,53.25,Lumpy Space Princess,2,5
Eleven,5,279.5,Barracuda,8,180.5
Dustin Henderson,5,43.75,Marlin Swordtail,8,36
Steve Harrington,5,173.75,Betta Splendens,8,196.75
Mike Wheeler,5,90.25,Dory Bluetang,8,94.25
Will Byers,5,97.5,Koi Carpenter,8,99.5
Paul Morphy,HallB,134.5,Zzyzx Quibble,HallC,177.25
Mikhail Tal,HallB,112,Jean-Claude Van Damme III,HallC,104.25
Judit Polgar,HallB,113.25,Coral Reeves,HallC,113.25
Emanuel Lasker,HallB,140.75,"O'Connell-Smythe, Padraig Seamus",HallC,69.5
Boris Spassky,HallB,16,Bob,HallC,93.75
Gale Boetticher,1,159.5,Loid Forger,6,161.5
Walter White,1,168.25,Yor Forger,6,170.25
Jesse Pinkman,1,43.25,Fiona Frost,6,5
Saul Goodman,1,65.75,Damian Desmond,6,67.75
Lydia Rodarte-Quayle,1,176.5,Yuri Briar,6,109.25
Elliot Alderson,7,202,Wolfgang Amadeus Mozart,HallA,200
Darlene Alderson,7,143.5,Marie Curie,HallA,165.25
Dominique DiPierro,7,105.75,Jim Hopper,HallA,96.75
Leon,7,100.5,Teddy Roosevelt,HallA,184.25
George Raymond Richard Martin,HallA,,WALKOVER,7,
Severus Snape,4,,WALKOVER,,
Hermione Granger,4,,WALKOVER,,
Luna Lovegood,4,,WALKOVER,,
Harry Potter,4,,WALKOVER,,
Albus Dumbledore,4,,WALKOVER,,
