name1,hall1,score1,name2,hall2,score2
Sansa Stark,3,17,Eleven,5,13
Eddard Stark,3,94.25,Max Mayfield,5,43
Brienne of Tarth,3,158.25,Dustin Henderson,5,125.5
Margaery Tyrell,3,90,Steve Harrington,5,52.5
Sandor Clegane,3,182.75,Lucas Sinclair,5,135.75
Hermione Granger,4,127,Gale Boetticher,1,107.25
Severus Snape,4,156.75,Walter White,1,156.75
Albus Dumbledore,4,154.75,Jesse Pinkman,1,97.5
Minerva McGonagall,4,144,Skyler White,1,98.25
Harry Potter,4,57.75,Lydia Rodarte-Quayle,1,175.75
Loid Forger,6,12.75,Paul Morphy,HallB,55.25
Yor Forger,6,72.5,Mikhail Tal,HallB,58.75
Yuri Briar,6,129.5,Judit Polgar,HallB,113.25
Becky Blackbell,6,72,Emanuel Lasker,HallB,49
Aniya Forger,6,182,Bobby Fischer,HallB,180
Princess Bubblegum,2,121,Wolfgang Amadeus Mozart,HallA,117.5
Jake the Dog,2,187.5,Marie Curie,HallA,187.5
Finn the Human,2,157,Jim Hopper,HallA,213.5
Peppermint Butler,2,196,Georgia O'Keeffe,HallA,150.5
Joyce Byers,2,128,George Raymond Richard Martin,HallA,130
Barracuda,8,38,Elliot Alderson,7,78.75
Marlin Swordtail,8,207,Darlene Alderson,7,140.75
Finn Herring,8,72.5,Tyrell Wellick,7,113.5
Betta Splendens,8,217.75,Dominique DiPierro,7,181.25
Koi Carpenter,8,196.75,Leon,7,218.75
"van der Berg, Willem",HallC,,WALKOVER,,
Zzyzx Quibble,HallC,,WALKOVER,,
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,,WALKOVER,,
Jean-Claude Van Damme III,HallC,,WALKOVER,,
Bob,HallC,,WALKOVER,,
