name1,hall1,score1,name2,hall2,score2
Daenerys Targaryen,3,209,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,79.25
Sansa Stark,3,228.75,Jean-Claude Van Damme III,HallC,159.75
Jon Snow,3,165.25,"O'Connell-Smythe, Padraig Seamus",HallC,84.5
Arya Stark,3,207.25,Bob,HallC,91.25
Cersei Lannister,3,65.25,"Anne ""Rock"" Marble",HallC,127.25
Hermione Granger,4,72,Eleven,5,5
Lord Voldemort,4,102.25,Jim Hopper,5,222
Severus Snape,4,203,Mike Wheeler,5,253.25
Albus Dumbledore,4,107.5,Lucas Sinclair,5,204.5
Harry Potter,4,98.5,Will Byers,5,47.5
Finn the Human,2,5,Loid Forger,6,14.75
Marceline,2,238.25,Yor Forger,6,194.75
Princess Bubblegum,2,214.5,Sylvia Sherwood,6,166.5
Jake the Dog,2,14.5,Damian Desmond,6,12.5
Flame Princess,2,125.75,Becky Blackbell,6,64
"Bond, James Bond",HallA,130,Elliot Alderson,7,99
Teddy Roosevelt,HallA,172.25,Angela Moss,7,184.5
Georgia O'Keeffe,HallA,213,Darlene Alderson,7,210.5
George Raymond Richard Martin,HallA,92.25,Tyrell Wellick,7,90.25
Paul Murphy,HallA,107.25,Leon,7,80.75
Gus Fring,1,183.25,Jose Raul Capablanca,HallB,112
Kim Wexler,1,40,Paul Morphy,HallB,112.25
Walter White,1,55.75,Mikhail Tal,HallB,137.75
Hank Schrader,1,205.25,Alexander Alekhine,HallB,124.75
Jesse Pinkman,1,103.25,Bobby Fischer,HallB,55
Coral Reeves,8,,WALKOVER,,
Barracuda,8,,WALKOVER,,
Marlin Swordtail,8,,WALKOVER,,
Angel Shark,8,,WALKOVER,,
Dory Bluetang,8,,WALKOVER,,
