name1,hall1,score1,name2,hall2,score2
Brienne of Tarth,3,220.5,Walter White,1,169.75
Margaery Tyrell,3,93.5,Jesse Pinkman,1,155.75
Sandor Clegane,3,108.25,Skyler White,1,38
Olenna Tyrell,3,280.75,Lydia Rodarte-Quayle,1,199.5
Theon Greyjoy,3,153.5,Jane Margolis,1,111
Hermoine Granger,4,171,Bobby Fischer,HallB,81.75
Lord Voldemort,4,165.75,Paul Morphy,HallB,165.75
Minerva McGonagall,4,42.5,Mikhail Tal,HallB,5
Luna Lovegood,4,176.75,Judit Polgar,HallB,114.25
Harry Potter,4,71,Boris Spassky,HallB,124
Eleven,5,126.75,Marie Curie,HallA,128.75
Max Mayfield,5,88.75,Jim Hopper,HallA,64.75
Dustin Henderson,5,78.25,Georgia O'Keeffe,HallA,103.75
Steve Harrington,5,197.5,Paul Murphy,HallA,168.25
Lucas Sinclair,5,,WALKOVER,HallA,
Anya Forger,6,94,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,46.5
Loid Forger,6,223.25,Zzyzx Quibble,HallC,237.25
Fiona Frost,6,92.25,Coral Reeves,HallC,108.25
Damian Desmond,6,153.25,"van der Berg, Willem",HallC,121.25
Yuri Briar,6,157.25,"O'Connell-Smythe, Padraig Seamus",HallC,183.75
Barracuda,8,195,Elliot Alderson,7,236
Marlin Swordtail,8,120.25,Whiterose,7,196
Finn Herring,8,60.25,Angela Moss,7,58.25
Gar Pike,8,105,Darlene Alderson,7,133.25
Koi Carpenter,8,83.5,Dominique DiPierro,7,101
Marceline,2,,WALKOVER,,
Princess Bubblegum,2,,WALKOVER,,
Finn the Human,2,,WALKOVER,,
Peppermint Butler,2,,WALKOVER,,
Lumpy Space Princess,2,,WALKOVER,,
