name1,hall1,winby1,name2,hall2,winby2
Mike Ehrmantraut,1,249.5,Teddy Roosevelt,HallA,
Kim Wexler,1,169,Qin Shi Huang,HallA,
Saul Goodman,1,,Gandhi,HallA,232.5
Jesse Pinkman,1,,Cleopatra,HallA,250.5
Gus Fring,1,,WALKOVER,HallA,
Eleven,5,,Emanuel Lasker,HallB,285.5
Joyce Byers,5,296.5,Mikhail Tal,HallB,
Will Byers,5,,Alexander Alekhine,HallB,301
Jim Hopper,5,,Jose Raul Capablanca,HallB,328.5
Dustin Henderson,5,,Bobby Fischer,HallB,104.5
Draco Malfoy,4,60,Jake the Dog,2,
Hermione Granger,4,103,Princess Bubblegum,2,
Albus Dumbledore,4,,BMO,2,116.5
Severus Snape,4,,Flame Princess,2,60.5
Harry Potter,4,105.5,Marceline,2,
Jaime Lannister,3,,WALKOVER,,
Sansa Stark,3,,WALKOVER,,
Jon Snow,3,,WALKOVER,,
Daenerys Targaryen,3,,WALKOVER,,
Tyrion Lannister,3,,WALKOVER,,
