name1,hall1,winby1,name2,hall2,winby2
Walter White,1,355.5,Eleven,5,
Jesse Pinkman,1,,Lucas Sinclair,5,241
Saul Goodman,1,,Will Byers,5,271
Kim Wexler,1,,Dustin Henderson,5,23.5
Hank Schrader,1,,Jim Hopper,5,68.5
Ron Weasley,4,227,Gandhi,HallA,
Severus Snape,4,,Qin Shi Huang,HallA,126
Lord Voldemort,4,12.5,Cleopatra,HallA,
Hermione Granger,4,68.5,Teddy Roosevelt,HallA,
Albus Dumbledore,4,,WALKOVER,HallA,
Jose Raul Capablanca,HallB,134.5,Sansa Stark,3,
Tigran Petrosian,HallB,14,Tyrion Lannister,3,
Mikhail Tal,HallB,87.5,Jaime Lannister,3,
Bobby Fischer,HallB,329,Daenerys Targaryen,3,
Alexander Alekhine,HallB,,Jon Snow,3,348.5
BMO,2,,WALKOVER,,
Princess Bubblegum,2,,WALKOVER,,
Flame Princess,2,,WALKOVER,,
Jake the Dog,2,,WALKOVER,,
Finn the Human,2,,WALKOVER,,
