name1,hall1,score1,name2,hall2,score2
Mike Ehrmantraut,1,309,Teddy Roosevelt,HallA,59.5
Kim Wexler,1,268.75,Qin Shi Huang,HallA,99.75
Saul Goodman,1,68,Gandhi,HallA,300.5
Jesse Pinkman,1,59,Cleopatra,HallA,309.5
Gus Fring,1,,WALKOVER,HallA,
Eleven,5,41.5,Emanuel Lasker,HallB,327
Joyce Byers,5,332.5,Mikhail Tal,HallB,36
Will Byers,5,33.75,Alexander Alekhine,HallB,334.75
Jim Hopper,5,20,Jose Raul Capablanca,HallB,348.5
Dustin Henderson,5,132,Bobby Fischer,HallB,236.5
Draco Malfoy,4,214.25,Jake the Dog,2,154.25
Hermione Granger,4,235.75,Princess Bubblegum,2,132.75
Albus Dumbledore,4,126,BMO,2,242.5
Severus Snape,4,154,Flame Princess,2,214.5
Harry Potter,4,237,Marceline,2,131.5
Jaime Lannister,3,,WALKOVER,,
Sansa Stark,3,,WALKOVER,,
Jon Snow,3,,WALKOVER,,
Daenerys Targaryen,3,,WALKOVER,,
Tyrion Lannister,3,,WALKOVER,,
