name1,hall1,score1,name2,hall2,score2
Kim Wexler,1,299.25,Albus Dumbledore,4,69.25
Walter White,1,77.25,Draco Malfoy,4,291.25
Mike Ehrmantraut,1,122.25,Severus Snape,4,246.25
Jesse Pinkman,1,200,Harry Potter,4,168.5
Hank Schrader,1,89,Hermione Granger,4,279.5
Arya Stark,3,328,Lucas Sinclair,5,40.5
Sansa Stark,3,315.25,Eleven,5,53.25
Cersei Lannister,3,349.75,Jim Hopper,5,18.75
Tyrion Lannister,3,348.75,Joyce Byers,5,19.75
Jon Snow,3,351.5,Mike Wheeler,5,17
Finn the Human,2,64.5,Teddy Rosevelt,HallA,304
Jake the Dog,2,81.25,Gandhi,HallA,287.25
Ice King,2,103.75,Cleopatra,HallA,264.75
Princess Bubblegum,2,246.25,Qin Shi Huang,HallA,122.25
Marceline,2,,WALKOVER,HallA,
Mikhail Tal,HallB,,WALKOVER,,
Emanuel Lasker,HallB,,WALKOVER,,
Jose Raul Capablanca,HallB,,WALKOVER,,
Bobby Fischer,HallB,,WALKOVER,,
Tigran Petrosian,HallB,,WALKOVER,,
