name1,hall1,winby1,name2,hall2,winby2
Hank Schrader,1,,Sansa Stark,3,153.5
Saul Goodman,1,,Cersei Lannister,3,35.5
Jesse Pinkman,1,,Jon Snow,3,314.5
Walter White,1,40.5,Tyrion Lannister,3,
Mike Ehrmantraut,1,,Arya Stark,3,235.5
Ice King,2,,Will Byers,5,254
Princess Bubblegum,2,,Dustin Henderson,5,338
Finn the Human,2,368.5,Mike Wheeler,5,
BMO,2,,Joyce Byers,5,276
Flame Princess,2,75.5,Lucas Sinclair,5,
Hermione Granger,4,,Emanuel Lasker,HallB,78.5
Harry Potter,4,255,Paul Morphy,HallB,
Severus Snape,4,160.5,Mikhail Tal,HallB,
Ron Weasley,4,134.5,Jose Raul Capablanca,HallB,
Lord Voldemort,4,274.5,Tigran Petrosian,HallB,
Cleopatra,HallA,,WALKOVER,,
Gandhi,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
Teddy Roosevelt,HallA,,WALKOVER,,
