name1,hall1,winby1,name2,hall2,winby2
Mike Ehrmantraut,1,,Arya Stark,3,89
Saul Goodman,1,,Cersei Lannister,3,92.5
Kim Wexler,1,154.5,Jaime Lannister,3,
Gus Fring,1,243,Tyrion Lannister,3,
Hank Schrader,1,,Daenerys Targaryen,3,272.5
Severus Snape,4,319,BMO,2,
Lord Voldemort,4,,Jake the Dog,2,236
Ron Weasley,4,342,Flame Princess,2,
Hermione Granger,4,,Princess Bubblegum,2,235.5
Albus Dumbledore,4,5.5,Marceline,2,
Lucas Sinclair,5,279,Paul Morphy,HallB,
Joyce Byers,5,,Emanuel Lasker,HallB,0.5
Will Byers,5,264.5,Tigran Petrosian,HallB,
Jim Hopper,5,,Alexander Alekhine,HallB,30
Eleven,5,,Mikhail Tal,HallB,281
Teddy Roosevelt,HallA,,WALKOVER,,
Gandhi,HallA,,WALKOVER,,
Cleopatra,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
