name1,hall1,score1,name2,hall2,score2
Walter White,1,118.75,Bobby Fischer,HallB,120.75
Mike Ehrmantraut,1,200.75,Paul Morphy,HallB,266.75
Jesse Pinkman,1,36.5,Mikhail Tal,HallB,34.5
Lydia Rodarte-Quayle,1,198.5,Judit Polgar,HallB,189.75
Jane Margolis,1,234.75,Boris Spassky,HallB,234.75
Hermoine Granger,4,54.25,Anya Forger,6,113.25
Lord Voldemort,4,93.5,Loid Forger,6,5
Harry Potter,4,249.5,Fiona Frost,6,107.5
Luna Lovegood,4,21.25,Damian Desmond,6,5
Neville Longbottom,4,69,Yuri Briar,6,149.5
Whiterose,7,133.75,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,48.25
Elliot Alderson,7,209,Zzyzx Quibble,HallC,128
Angela Moss,7,89,Coral Reeves,HallC,72.25
Leon,7,177.25,"O'Connell-Smythe, Padraig Seamus",HallC,175.25
Phillip Price,7,93.75,Bob,HallC,20.75
Brienne of Tarth,3,45,Eleven,5,32.25
Margaery Tyrell,3,211.25,Dustin Henderson,5,112
Sandor Clegane,3,92.5,Steve Harrington,5,187.5
Olenna Tyrell,3,194.5,Nancy Wheeler,5,121.5
Jaime Lannister,3,55.25,Lucas Sinclair,5,5
Baracuda,8,93.25,Princess Bubblegum,2,91.25
Marlin Swordtail,8,149,Marceline,2,147
Finn Herring,8,213.25,Finn the Human,2,274.5
Gar Pike,8,89.75,Peppermint Butler,2,63.5
Betta Splendens,8,20,Tree Trunks,2,89.75
Jim Hopper,HallA,,WALKOVER,,
Georgia O'Keeffe,HallA,,WALKOVER,,
Marie Curie,HallA,,WALKOVER,,
Paul Murphy,HallA,,WALKOVER,,
