name1,hall1,score1,name2,hall2,score2
Sansa Stark,3,162.75,Elliot Alderson,7,128.75
Eddard Stark,3,305,Darlene Alderson,7,244.25
Brienne of Tarth,3,,Tyrell Wellick,7,TIMEOUT
Sandor Clegane,3,167.25,Dominique DiPierro,7,251.25
Theon Greyjoy,3,144.75,Leon,7,99.5
Loid Forger,6,153.5,Princess Bubblegum,2,127.25
Yor Forger,6,130,Jake the Dog,2,158.25
Fiona Frost,6,117.5,Finn the Human,2,135.25
Damian Desmond,6,127,Peppermint Butler,2,106
Yuri Briar,6,112.75,Joyce Byers,2,110.75
Hermione Granger,4,116,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,90
Severus Snape,4,45.5,Zzyzx Quibble,HallC,107.75
Albus Dumbledore,4,139,Jean-Claude Van Damme III,HallC,193.25
Luna Lovegood,4,56,Coral Reeves,HallC,15.25
Harry Potter,4,154.5,"van der Berg, Willem",HallC,199
