name1,hall1,score1,name2,hall2,score2
Gus Fring,1,102.25,Marceline,2,34.25
Kim Wexler,1,127.25,Princess Bubblegum,2,133
Walter White,1,216,Jake the Dog,2,310
Mike Ehrmantraut,1,102.75,Flame Princess,2,147
Jesse Pinkman,1,121.5,BMO,2,192
Sansa Stark,3,56.5,Hermione Granger,4,130.75
Jon Snow,3,194,Severus Snape,4,162.25
Arya Stark,3,26.25,Albus Dumbledore,4,122.75
Tyrion Lannister,3,135,Harry Potter,4,227
Cersei Lannister,3,131.75,Ron Weasley,4,129.75
Eleven,5,120,Loid Forger,6,80.5
Jim Hopper,5,121.25,Yor Forger,6,129
Dustin Henderson,5,197.5,Sylvia Sherwood,6,122.75
Mike Wheeler,5,211.75,Damian Desmond,6,266.25
Lucas Sinclair,5,150.25,Anya Forger,6,113.25
Elliot Alderson,7,166.25,Barracuda,8,80.25
Darlene Alderson,7,72,Coral Reeves,8,112.5
Tyrell Wellick,7,164.75,Finn Herring,8,215.75
Krista Gordon,7,135.5,Angel Shark,8,137.5
Gideon Goddard,7,125.25,Koi Carpenter,8,127.25
"Bond, James Bond",HallA,123.75,Jose Raul Capablanca,HallB,209.75
Teddy Roosevelt,HallA,113.25,Paul Morphy,HallB,111.25
Georgia O'Keeffe,HallA,176,Mikhail Tal,HallB,112
George Raymond Richard Martin,HallA,197.25,Alexander Alekhine,HallB,195.25
Paul Murphy,HallA,264.25,Tigran Petrosian,HallB,135.5
"van der Berg, Willem",HallC,,WALKOVER,,
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,,WALKOVER,,
Jean-Claude Van Damme III,HallC,,WALKOVER,,
Bob,HallC,,WALKOVER,,
X,HallC,,WALKOVER,,
