name1,hall1,winby1,name2,hall2,winby2
Hank Schrader,1,59.5,Princess Bubblegum,2,
Jesse Pinkman,1,,Jake the Dog,2,191
Kim Wexler,1,draw,Flame Princess,2,draw
Mike Ehrmantraut,1,,Finn the Human,2,9.5
Walter White,1,,Ice King,2,354
Jaime Lannister,3,106.5,Harry Potter,4,
Daenerys Targaryen,3,,Ron Weasley,4,268
Jon Snow,3,7.5,Hermione Granger,4,
Sansa Stark,3,209.5,Severus Snape,4,
Cersei Lannister,3,59,Draco Malfoy,4,
Will Byers,5,,Gandhi,HallA,111
Dustin Henderson,5,,Qin Shi Huang,HallA,279
Eleven,5,285.5,Teddy Roosevelt,HallA,
Mike Wheeler,5,,Cleopatra,HallA,338.5
Joyce Byers,5,,WALKOVER,HallA,
Jose Raul Capablanca,HallB,,WALKOVER,,
Paul Morphy,HallB,,WALKOVER,,
Tigran Petrosian,HallB,,WALKOVER,,
Alexander Alekhine,HallB,,WALKOVER,,
Mikhail Tal,HallB,,WALKOVER,,
