name1,hall1,score1,name2,hall2,score2
Finn the Human,2,274.25,Barracuda,8,225.75
Marceline,2,133.75,Coral Reeves,8,186.75
Princess Bubblegum,2,,Marlin Swordtail,8,TIMEOUT
Jake the Dog,2,27,Angel Shark,8,16.75
BMO,2,167.5,Koi Carpenter,8,127.25
"Bond, James Bond",HallA,129.5,Hermione Granger,4,168
Teddy Roosevelt,HallA,68.75,Lord Voldemort,4,174.75
Georgia O'Keeffe,HallA,5,Severus Snape,4,119.75
George Raymond Richard Martin,HallA,122.25,Albus Dumbledore,4,205.5
Paul Murphy,HallA,78.75,Harry Potter,4,166.25
Eleven,5,83.5,Jean-Claude Van Damme III,HallC,186.5
Jim Hopper,5,200.5,"van der Berg, Willem",HallC,108.25
Mike Wheeler,5,98.5,"O'Connell-Smythe, Padraig Seamus",HallC,66
Lucas Sinclair,5,156.5,X,HallC,204.75
Joyce Byers,5,107.25,Bob,HallC,133
Daenerys Targaryen,3,251,Loid Forger,6,152.5
Sansa Stark,3,48.25,Yor Forger,6,138.25
Arya Stark,3,144.25,Damian Desmond,6,234.25
Tyrion Lannister,3,219.5,Becky Blackbell,6,147.25
Cersei Lannister,3,163,Anya Forger,6,17.75
Gus Fring,1,131,Elliot Alderson,7,106.75
Kim Wexler,1,155,Darlene Alderson,7,144.5
Walter White,1,203.75,Krista Gordon,7,201.75
Mike Ehrmantraut,1,294.5,Gideon Goddard,7,228.25
Saul Goodman,1,147,Leon,7,183
Paul Morphy,HallB,,WALKOVER,,
Jose Raul Capablanca,HallB,,WALKOVER,,
Alexander Alekhine,HallB,,WALKOVER,,
Bobby Fischer,HallB,,WALKOVER,,
Emanuel Lasker,HallB,,WALKOVER,,
