name1,hall1,score1,name2,hall2,score2
Daenerys Targaryen,3,135.75,Elliot Alderson,7,129.5
Sansa Stark,3,120.25,Angela Moss,7,72.75
Jon Snow,3,46.75,Darlene Alderson,7,98.5
Arya Stark,3,21.75,Tyrell Wellick,7,92.75
Jaime Lannister,3,98.75,Krista Gordon,7,71.25
Hermione Granger,4,206,Paul Morphy,HallB,96.75
Albus Dumbledore,4,164,Mikhail Tal,HallB,164
Harry Potter,4,97.75,Alexander Alekhine,HallB,51
Ron Weasley,4,87.5,Bobby Fischer,HallB,171.25
Draco Malfoy,4,203.75,Tigran Petrosian,HallB,161.75
Finn the Human,2,110,Loid Forger,6,135
Marceline,2,132.5,Yor Forger,6,100.5
Princess Bubblegum,2,93.75,Sylvia Sherwood,6,59.25
Jake the Dog,2,159.25,Damian Desmond,6,111
Flame Princess,2,254.25,Franky Franklin,6,261
"Bond, James Bond",HallA,125.75,Gus Fring,1,106.5
Teddy Roosevelt,HallA,180,Walter White,1,217.75
Georgia O'Keeffe,HallA,5,Mike Ehrmantraut,1,54.75
George Raymond Richard Martin,HallA,206.5,Hank Schrader,1,254.75
Paul Murphy,HallA,108.25,Saul Goodman,1,106.25
Eleven,5,153.25,Barracuda,8,217.75
Jim Hopper,5,143.25,Coral Reeves,8,179.75
Dustin Henderson,5,83.5,Finn Herring,8,81.5
Mike Wheeler,5,149.25,Angel Shark,8,126.25
Joyce Byers,5,216,Koi Carpenter,8,203.75
"van der Berg, Willem",HallC,,WALKOVER,,
"O'Connell-Smythe, Padraig Seamus",HallC,,WALKOVER,,
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,,WALKOVER,,
Bob,HallC,,WALKOVER,,
"Anne ""Rock"" Marble",HallC,,WALKOVER,,
