name1,hall1,score1,name2,hall2,score2
Hank Schrader,1,107.5,Sansa Stark,3,261
Saul Goodman,1,166.5,Cersei Lannister,3,202
Jesse Pinkman,1,27,Jon Snow,3,341.5
Walter White,1,204.5,Tyrion Lannister,3,164
Mike Ehrmantraut,1,66.5,Arya Stark,3,302
Ice King,2,57.25,Will Byers,5,311.25
Princess Bubblegum,2,15.25,Dustin Henderson,5,353.25
Finn the Human,2,368.5,Mike Wheeler,5,0
BMO,2,46.25,Joyce Byers,5,322.25
Flame Princess,2,222,Lucas Sinclair,5,146.5
Hermione Granger,4,145,Emanuel Lasker,HallB,223.5
Harry Potter,4,311.75,Paul Morphy,HallB,56.75
Severus Snape,4,264.5,Mikhail Tal,HallB,104
Ron Weasley,4,251.5,Jose Raul Capablanca,HallB,117
Lord Voldemort,4,321.5,Tigran Petrosian,HallB,47
Cleopatra,HallA,,WALKOVER,,
Gandhi,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
Teddy Roosevelt,HallA,,WALKOVER,,
