name1,hall1,score1,name2,hall2,score2
Cersei Lannister,3,234,Emanuel Lasker,HallB,134.5
Daenerys Targaryen,3,145.75,Jose Raul Capablanca,HallB,222.75
Jaime Lannister,3,250.5,Alexander Alekhine,HallB,118
Sansa Stark,3,255.5,Tigran Petrosian,HallB,113
Tyrion Lannister,3,171.5,Bobby Fischer,HallB,197
Severus Snape,4,259.5,Gus Fring,1,109
Albus Dumbledore,4,329.75,Jesse Pinkman,1,38.75
Lord Voldemort,4,62.5,Kim Wexler,1,306
Hermione Granger,4,184.25,Hank Schrader,1,184.25
Ron Weasley,4,211.25,Saul Goodman,1,157.25
