name1,hall1,winby1,name2,hall2,winby2
Sansa Stark,3,72,Teddy Roosevelt,HallA,
Daenerys Targaryen,3,102,Cleopatra,HallA,
Tyrion Lannister,3,233.5,Gandhi,HallA,
Arya Stark,3,,Qin Shi Huang,HallA,262
Jaime Lannister,3,,WALKOVER,HallA,
Severus Snape,4,284,Dustin Henderson,5,
Ron Weasley,4,287.5,Eleven,5,
Hermione Granger,4,,Lucas Sinclair,5,269
Lord Voldemort,4,176.5,Mike Wheeler,5,
Albus Dumbledore,4,112.5,Will Byers,5,
Mike Ehrmantraut,1,327.5,Jake the Dog,2,
Walter White,1,,Ice King,2,343
Gus Fring,1,0.5,Marceline,2,
Hank Schrader,1,336.5,Finn the Human,2,
Kim Wexler,1,,Princess Bubblegum,2,72.5
Alexander Alekhine,HallB,,WALKOVER,,
Paul Morphy,HallB,,WALKOVER,,
Jose Raul Capablanca,HallB,,WALKOVER,,
Bobby Fischer,HallB,,WALKOVER,,
Emanuel Lasker,HallB,,WALKOVER,,
