name1,hall1,score1,name2,hall2,score2
Sansa Stark,3,107.75,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,210.75
Brienne of Tarth,3,164.5,"van der Berg, Willem",HallC,63
Margaery Tyrell,3,231.75,"O'Connell-Smythe, Padraig Seamus",HallC,80.75
Cersei Lannister,3,113,X,HallC,236.25
Jaime Lannister,3,106.5,Bob,HallC,82.75
Hermione Granger,4,245.25,Marie Curie,HallA,166
Severus Snape,4,219.5,Teddy Roosevelt,HallA,95
Albus Dumbledore,4,258.5,Georgia O'Keeffe,HallA,139.25
Minerva McGonagall,4,121.25,George Raymond Richard Martin,HallA,76
Draco Malfoy,4,110.25,Paul Murphy,HallA,108.25
Barracuda,8,162,Eleven,5,47.25
Coral Reeves,8,121,Jim Hopper,5,98.5
Finn Herring,8,140.75,Dustin Henderson,5,140.75
Betta Splendens,8,198.5,Mike Wheeler,5,276.75
Dory Bluetang,8,275.75,Will Byers,5,188.5
Marceline,2,88,Elliot Alderson,7,100.5
Jake the Dog,2,97,Angela Moss,7,153.75
Joyce Byers,2,265,Tyrell Wellick,7,194.75
Ice King,2,257,Dominique DiPierro,7,187.5
BMO,2,30.75,Gideon Goddard,7,108.5
Gus Fring,1,200.5,Paul Morphy,HallB,83.25
Walter White,1,104,Mikhail Tal,HallB,183
Mike Ehrmantraut,1,139,Judit Polgar,HallB,83.25
Jesse Pinkman,1,138.25,Emanuel Lasker,HallB,203.25
Gale Boetticher,1,105.75,Max Euwe,HallB,196.5
Loid Forger,6,,WALKOVER,,
Fiona Frost,6,,WALKOVER,,
Yor Forger,6,,WALKOVER,,
Franky Franklin,6,,WALKOVER,,
Becky Blackbell,6,,WALKOVER,,
