name1,hall1,score1,name2,hall2,score2
Whiterose,7,184.75,Walter White,1,106.25
Elliot Alderson,7,84.5,Mike Ehrmantraut,1,5
Darlene Alderson,7,TIMEOUT,Jesse Pinkman,1,
Leon,7,51.25,Skyler White,1,53.25
Phillip Price,7,53.25,Jane Margolis,1,40.25
Brienne of Tarth,3,75.75,Bobby Fischer,HallB,61.5
Margaery Tyrell,3,229.5,Paul Morphy,HallB,229.5
Sandor Clegane,3,13.25,Judit Polgar,HallB,153.75
Olenna Tyrell,3,190.25,Boris Spassky,HallB,85.75
Jaime Lannister,3,221.25,Tigran Petrosyan,HallB,54.25
Hermoine Granger,4,316.5,Barracuda,8,152.75
Lord Voldemort,4,227,Marlin Swordtail,8,123.75
Harry Potter,4,192.25,Gar Pike,8,118.25
Minerva McGonagall,4,191.75,Betta Splendens,8,302
Neville Longbottom,4,152,Koi Carpenter,8,150
Anya Forger,6,139,Marie Curie,HallA,149.25
Loid Forger,6,188.75,Jim Hopper,HallA,262.25
Fiona Frost,6,121.75,Georgia O'Keeffe,HallA,110.75
Yuri Briar,6,245.75,Paul Murphy,HallA,193
Becky Blackbell,6,,WALKOVER,HallA,
Princess Bubblegum,2,152.75,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,242.25
Marceline,2,105.5,Zzyzx Quibble,HallC,74
Jake the Dog,2,76.75,Coral Reeves,HallC,78.75
Peppermint Butler,2,5,"O'Connell-Smythe, Padraig Seamus",HallC,55.5
Tree Trunks,2,110.5,Bob,HallC,134.75
Eleven,5,,WALKOVER,,
Max Mayfield,5,,WALKOVER,,
Dustin Henderson,5,,WALKOVER,,
Nancy Wheeler,5,,WALKOVER,,
Will Byers,5,,WALKOVER,,
