name1,hall1,score1,name2,hall2,score2
Brienne of Tarth,3,152.5,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,83
Margaery Tyrell,3,174.5,Zzyzx Quibble,HallC,115.75
Sandor Clegane,3,,"van der Berg, Willem",HallC,TIMEOUT
Jaime Lannister,3,251.5,"O'Connell-Smythe, Padraig Seamus",HallC,169
Theon Greyjoy,3,184.25,Bob,HallC,109.75
Hermoine Granger,4,61,Princess Bubblegum,2,116.5
Lord Voldemort,4,147,Marceline,2,222.25
Minerva McGonagall,4,95.75,Finn the Human,2,71.75
Luna Lovegood,4,48.75,Peppermint Butler,2,100.25
Neville Longbottom,4,96.25,Lumpy Space Princess,2,56.75
Eleven,5,53,Elliot Alderson,7,5
Max Mayfield,5,124.75,Whiterose,7,84.25
Dustin Henderson,5,106.75,Angela Moss,7,112
Steve Harrington,5,185.75,Darlene Alderson,7,159
Nancy Wheeler,5,185.5,Dominique DiPierro,7,155
