name1,hall1,score1,name2,hall2,score2
Eddard Stark,3,5,Barracuda,8,41
Margaery Tyrell,3,97.5,Marlin Swordtail,8,176.25
Sandor Clegane,3,124.25,Finn Herring,8,85.75
Jaime Lannister,3,92,Betta Splendens,8,142.5
Theon Greyjoy,3,41.75,Dory Bluetang,8,207.75
Princess Bubblegum,2,119.25,Eleven,5,224.5
Jake the Dog,2,177.5,Dustin Henderson,5,119
Finn the Human,2,7.25,Steve Harrington,5,9.25
Peppermint Butler,2,260.5,Lucas Sinclair,5,177.75
Joyce Byers,2,139.25,Will Byers,5,157.5
Loid Forger,6,175,Wolfgang Amadeus Mozart,HallA,216.75
Yor Forger,6,180,Marie Curie,HallA,178
Fiona Frost,6,82.25,Jim Hopper,HallA,134.75
Damian Desmond,6,212.5,Teddy Roosevelt,HallA,138.75
Becky Blackbell,6,128.75,George Raymond Richard Martin,HallA,124.75
Paul Morphy,HallB,93.25,Gale Boetticher,1,243.25
Mikhail Tal,HallB,134,Walter White,1,165
Judit Polgar,HallB,81.25,Jesse Pinkman,1,181.75
Emanuel Lasker,HallB,286,Skyler White,1,210.5
Bobby Fischer,HallB,162.75,Lydia Rodarte-Quayle,1,119
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,133.5,Severus Snape,4,204.75
Zzyzx Quibble,HallC,89.5,Albus Dumbledore,4,146
Jean-Claude Van Damme III,HallC,201.5,Harry Potter,4,111.25
Coral Reeves,HallC,129,Minerva McGonagall,4,234
Bob,HallC,47.75,Luna Lovegood,4,102.75
WALKOVER,,,Elliot Alderson,7,
Dominique DiPierro,7,,WALKOVER,,
Darlene Alderson,7,,WALKOVER,,
Phillip Price,7,,WALKOVER,,
Tyrell Wellick,7,,WALKOVER,,
