name1,hall1,score1,name2,hall2,score2
Daenerys Targaryen,3,131.25,Gus Fring,1,69.5
Jon Snow,3,172,Kim Wexler,1,147
Arya Stark,3,,Walter White,1,TIMEOUT
Cersei Lannister,3,87.5,Hank Schrader,1,50.25
Jaime Lannister,3,129.75,Saul Goodman,1,162.25
Hermione Granger,4,182.75,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,89
Lord Voldemort,4,120.75,Jean-Claude Van Damme III,HallC,45
Severus Snape,4,191.5,"O'Connell-Smythe, Padraig Seamus",HallC,140
Albus Dumbledore,4,82,X,HallC,146.25
Harry Potter,4,74.5,"Anne ""Rock"" Marble",HallC,134.75
Finn the Human,2,41.25,Eleven,5,82.75
Marceline,2,92.25,Jim Hopper,5,90.25
Princess Bubblegum,2,116.25,Dustin Henderson,5,118.25
Jake the Dog,2,56.5,Lucas Sinclair,5,46.5
Ice King,2,162.25,Will Byers,5,149.25
