name1,hall1,score1,name2,hall2,score2
Sansa Stark,3,110.75,Elliot Alderson,7,68.25
Eddard Stark,3,151.5,Darlene Alderson,7,74.75
Margaery Tyrell,3,286,Tyrell Wellick,7,227.75
Sandor Clegane,3,122.75,Dominique,7,25.25
Jaime Lannister,3,93.5,Phillip Price,7,177.75
Hermione Granger,4,75.75,Princess Bubblegum,2,208
Severus Snape,4,79,Jake the Dog,2,152.75
Albus Dumbledore,4,157.5,Finn the Human,2,119.25
Harry Potter,4,366.5,Joyce Byers,2,250.5
Draco Malfoy,4,26.25,BMO,2,114.25
Loid Forger,6,178.75,Paul Morphy,HallB,79
Yor Forger,6,126.75,Mikhail Tal,HallB,51
Fiona Frost,6,164.25,Judit Polgar,HallB,135.25
Yuri Briar,6,56.75,Emanuel Lasker,HallB,134
Becky Blackbell,6,129,Bobby Fischer,HallB,89
Marlin Swordtail,8,96,Wolfgang Amadeus Mozart,HallA,173.5
Finn Herring,8,154.5,Marie Curie,HallA,225.5
Betta Splendens,8,124.5,Jim Hopper,HallA,81.75
Koi Carpenter,8,117,Teddy Roosevelt,HallA,93.25
"Sole, Dover",8,40.5,George Raymond Richard Martin,HallA,93.75
Eleven,5,169.25,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,134.25
Dustin Henderson,5,167.5,Zzyzx Quibble,HallC,214.5
Mike Wheeler,5,145,Jean-Claude Van Damme III,HallC,178.75
Steve Harrington,5,137.75,"van der Berg, Willem",HallC,99.25
Will Byers,5,171.5,Bob,HallC,203
Walter White,1,,WALKOVER,,
Gale Boetticher,1,,WALKOVER,,
Lydia Rodarte-Quayle,1,,WALKOVER,,
Jesse Pinkman,1,,WALKOVER,,
Saul Goodman,1,,WALKOVER,,
