name1,hall1,score1,name2,hall2,score2
Lord Voldemort,4,97.75,Mikhail Tal,HallB,151
Severus Snape,4,170.25,Judit Polgar,HallB,94.75
Albus Dumbledore,4,102,Emanuel Lasker,HallB,199
Minerva McGonagall,4,187.25,Bobby Fischer,HallB,130
Harry Potter,4,207.75,Max Euwe,HallB,165.75
Sansa Stark,3,108.75,Eleven,5,161.25
Brienne of Tarth,3,243,Jim Hopper,5,291.25
Margaery Tyrell,3,113.75,Max Mayfield,5,55.25
Sandor Clegane,3,83.25,Dustin Henderson,5,89.75
Cersei Lannister,3,110.25,Mike Wheeler,5,151.25
Gus Fring,1,98.5,Barracuda,8,117.75
Walter White,1,137,Coral Reeves,8,139
Mike Ehrmantraut,1,82,Marlin Swordtail,8,101
Saul Goodman,1,6.5,Finn Herring,8,36
Gale Boetticher,1,149,Betta Splendens,8,166.75
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,42.5,Loid Forger,6,79
Jean-Claude Van Damme III,HallC,15,Fiona Frost,6,17
"O'Connell-Smythe, Padraig Seamus",HallC,210.75,Damian Desmond,6,255.25
X,HallC,117.75,Franky Franklin,6,117.75
Bob,HallC,81.25,Anya Forger,6,119.25
Elliot Alderson,7,148.25,Marie Curie,HallA,121.25
Angela Moss,7,190,Teddy Roosevelt,HallA,195.5
Darlene Alderson,7,137,Georgia O'Keeffe,HallA,139
Tyrell Wellick,7,183,George Raymond Richard Martin,HallA,181
Leon,7,160.75,Paul Murphy,HallA,196.75
Princess Bubblegum,2,,WALKOVER,,
Jake the Dog,2,,WALKOVER,,
Joyce Byers,2,,WALKOVER,,
Ice King,2,,WALKOVER,,
BMO,2,,WALKOVER,,
