name1,hall1,score1,name2,hall2,score2
Marceline,2,104.5,Barracuda,8,104.5
Princess Bubblegum,2,220.75,Coral Reeves,8,183.25
Joyce Byers,2,188.75,Marlin Swordtail,8,264.25
Ice King,2,64,Dory Bluetang,8,86.25
BMO,2,141.25,Koi Carpenter,8,189.75
Marie Curie,HallA,190.75,Sansa Stark,3,287.75
Teddy Roosevelt,HallA,139.25,Eddard Stark,3,43.75
Georgia O'Keeffe,HallA,106.25,Margaery Tyrell,3,161.25
George Raymond Richard Martin,HallA,1,Sandor Clegane,3,213.5
Paul Murphy,HallA,151.5,Cersei Lannister,3,32.75
Eleven,5,234,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,154.75
Jim Hopper,5,36.25,Jean-Claude Van Damme III,HallC,67.25
Mike Wheeler,5,118.75,"van der Berg, Willem",HallC,153.5
Lucas Sinclair,5,80.5,X,HallC,53
Will Byers,5,94.5,"Anne ""Rock"" Marble",HallC,111.5
Hermione Granger,4,183.5,Loid Forger,6,81
Lord Voldemort,4,257.75,Yor Forger,6,174.75
Harry Potter,4,85.25,Damian Desmond,6,150
Minerva McGonagall,4,188.75,Franky Franklin,6,150.25
Draco Malfoy,4,79.75,Becky Blackbell,6,77.75
Elliot Alderson,7,65.75,Mikhail Tal,HallB,193.75
Angela Moss,7,248.25,Judit Polgar,HallB,158.25
Darlene Alderson,7,44,Emanuel Lasker,HallB,71.25
Dominique DiPierro,7,171.5,Tigran Petrosian,HallB,114.75
Leon,7,189.25,Max Euwe,HallB,57.5
Walter White,1,,WALKOVER,,
Gus Fring,1,,WALKOVER,,
Jesse Pinkman,1,,WALKOVER,,
Saul Goodman,1,,WALKOVER,,
Mike Ehrmantraut,1,,WALKOVER,,
