name1,hall1,score1,name2,hall2,score2
Walter White,1,362,Eleven,5,6.5
Jesse Pinkman,1,63.75,Lucas Sinclair,5,304.75
Saul Goodman,1,48.75,Will Byers,5,319.75
Kim Wexler,1,172.5,Dustin Henderson,5,196
Hank Schrader,1,150,Jim Hopper,5,218.5
Ron Weasley,4,297.75,Gandhi,HallA,70.75
Severus Snape,4,121.25,Qin Shi Huang,HallA,247.25
Lord Voldemort,4,190.5,Cleopatra,HallA,178
Hermione Granger,4,218.5,Teddy Roosevelt,HallA,150
Albus Dumbledore,4,,WALKOVER,HallA,
Jose Raul Capablanca,HallB,251.5,Sansa Stark,3,117
Tigran Petrosian,HallB,191.25,Tyrion Lannister,3,177.25
Mikhail Tal,HallB,228,Jaime Lannister,3,140.5
Bobby Fischer,HallB,348.75,Daenerys Targaryen,3,19.75
Alexander Alekhine,HallB,10,Jon Snow,3,358.5
BMO,2,,WALKOVER,,
Princess Bubblegum,2,,WALKOVER,,
Flame Princess,2,,WALKOVER,,
Jake the Dog,2,,WALKOVER,,
Finn the Human,2,,WALKOVER,,
