name1,hall1,score1,name2,hall2,score2
Daenerys Targaryen,3,330.75,Kim Wexler,1,37.75
Tyrion Lannister,3,351.5,Jesse Pinkman,1,17
Arya Stark,3,350,Hank Schrader,1,18.5
Sansa Stark,3,336.5,Walter White,1,32
Cersei Lannister,3,150.25,Gus Fring,1,218.25
Lord Voldemort,4,367.5,Marceline,2,1
Albus Dumbledore,4,144.25,BMO,2,224.25
Harry Potter,4,130.25,Jake the Dog,2,238.25
Ron Weasley,4,212,Finn the Human,2,156.5
Draco Malfoy,4,1.5,Ice King,2,367
Jose Raul Capablanca,HallB,201,Lucas Sinclair,5,167.5
Tigran Petrosian,HallB,198.5,Joyce Byers,5,170
Paul Morphy,HallB,246.75,Dustin Henderson,5,121.75
Emanuel Lasker,HallB,258,Eleven,5,110.5
Alexander Alekhine,HallB,324.25,Jim Hopper,5,44.25
Gandhi,HallA,,WALKOVER,,
Teddy Roosevelt,HallA,,WALKOVER,,
Cleopatra,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
