name1,hall1,score1,name2,hall2,score2
Barracuda,8,116,Sansa Stark,3,46.75
Coral Reeves,8,7,Eddard Stark,3,74.25
Finn Herring,8,122.75,Brienne of Tarth,3,272.25
Dory Bluetang,8,161.5,Margaery Tyrell,3,286.75
Koi Carpenter,8,35.5,Cersei Lannister,3,79.25
Marceline,2,134.5,Hermione Granger,4,246.5
Princess Bubblegum,2,0,Albus Dumbledore,4,0
Joyce Byers,2,159,Harry Potter,4,81.25
Ice King,2,72,Minerva McGonagall,4,184.5
BMO,2,134.25,Draco Malfoy,4,212.5
Marie Curie,HallA,95.5,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,56
Teddy Roosevelt,HallA,199.25,Jean-Claude Van Damme III,HallC,137.25
Georgia O'Keeffe,HallA,76.75,"van der Berg, Willem",HallC,20.5
George Raymond Richard Martin,HallA,151,"O'Connell-Smythe, Padraig Seamus",HallC,220
Paul Murphy,HallA,122.25,X,HallC,217
Eleven,5,222.25,Elliot Alderson,7,210.75
Jim Hopper,5,79,Angela Moss,7,77
Mike Wheeler,5,179.25,Darlene Alderson,7,198.75
Lucas Sinclair,5,206,Dominique DiPierro,7,212
Will Byers,5,101.75,Leon,7,129.5
Gus Fring,1,99,Loid Forger,6,141.5
Walter White,1,176,Yor Forger,6,174
Mike Ehrmantraut,1,140.5,Fiona Frost,6,138.5
Jessie Pinkman,1,170.75,Damian Desmond,6,104.75
Saul Goodman,1,113.75,Becky Blackbell,6,189.25
Paul Morphy,HallB,,WALKOVER,,
Judit Polgar,HallB,,WALKOVER,,
Mikhail Tal,HallB,,WALKOVER,,
Bobby Fischer,HallB,,WALKOVER,,
Tigran Petrosian,HallB,,WALKOVER,,
