name1,hall1,score1,name2,hall2,score2
Finn the Human,2,5,Daenerys Targaryen,3,136.75
Marceline,2,74.5,Sansa Stark,3,206.75
Princess Bubblegum,2,TIMEOUT,Arya Stark,3,
Jake the Dog,2,112.5,Tyrion Lannister,3,5
Jaime Lannister,3,,WALKOVER,2,
Hermione Granger,4,229.5,Loid Forger,6,164.25
Lord Voldemort,4,191.25,Yor Forger,6,110.25
Severus Snape,4,90.75,Sylvia Sherwood,6,15.75
Ron Weasley,4,161.5,Damian Desmond,6,120.5
Draco Malfoy,4,162.5,Franky Franklin,6,94
Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,210,Barracuda,8,157
Jean-Claude Van Damme III,HallC,177.25,Coral Reeves,8,182
"van der Berg, Willem",HallC,92.5,Marlin Swordtail,8,152.5
Bob,HallC,147,Angel Shark,8,156
"Anne ""Rock"" Marble",HallC,107.25,Dory Bluetang,8,100
Kim Wexler,1,5,"Bond, James Bond",HallA,21.5
Walter White,1,194.75,Teddy Roosevelt,HallA,246.75
Mike Ehrmantraut,1,158.75,Georgia O'Keeffe,HallA,181.5
Jesse Pinkman,1,45.25,George Raymond Richard Martin,HallA,65.75
Saul Goodman,1,75.25,Paul Murphy,HallA,126
Elliot Alderson,7,206.25,Jose Raul Capablanca,HallB,275.25
Angela Moss,7,57.75,Paul Morphy,HallB,48.5
Darlene Alderson,7,97.25,Mikhail Tal,HallB,107.75
Tyrell Wellick,7,294.75,Alexander Alekhine,HallB,174.25
Leon,7,163.25,Tigran Petrosian,HallB,114
Eleven,5,,WALKOVER,,
Jim Hopper,5,,WALKOVER,,
Mike Wheeler,5,,WALKOVER,,
Lucas Sinclair,5,,WALKOVER,,
Dustin Henderson,5,,WALKOVER,,
