name1,hall1,score1,name2,hall2,score2
Finn the Human,2,67,Hermione Granger,4,39.5
Marceline,2,235.75,Lord Voldemort,4,95.25
Princess Bubblegum,2,182.25,Severus Snape,4,93.75
Jake the Dog,2,69,Ron Weasley,4,135.25
Flame Princess,2,56,Draco Malfoy,4,137.75
Jean-Claude Van Damme III,HallC,107.25,Gus Fring,1,156.75
"van der Berg, Willem",HallC,151.5,Walter White,1,151.5
"O'Connell-Smythe, Padraig Seamus",HallC,296.75,Mike Ehrmantraut,1,223.5
X,HallC,197,Hank Schrader,1,125.75
"Anne ""Rock"" Marble",HallC,260.5,Saul Goodman,1,328.5
Daenerys Targaryen,3,263.25,Eleven,5,178.75
Sansa Stark,3,244.75,Jim Hopper,5,136.75
Arya Stark,3,280.25,Dustin Henderson,5,186.25
Tyrion Lannister,3,314.75,Mike Wheeler,5,180
Cersei Lannister,3,202,Lucas Sinclair,5,71.25
Barracuda,8,5,"Bond, James Bond",HallA,55.5
Coral Reeves,8,81.25,Teddy Rosevelt,HallA,83.25
Finn Herring,8,173.25,Georgia O'Keeffe,HallA,175.25
Angel Shark,8,182.5,George Raymond Richard Martin,HallA,118.5
Koi Carpenter,8,140.25,Paul Murphy,HallA,76.25
Loid Forger,6,228.25,Jose Raul Capablanca,HallB,146.25
Yor Forger,6,35.5,Paul Morphy,HallB,54.75
Sylvia Sherwood,6,155,Mikhail Tal,HallB,96.75
Damian Desmond,6,126.25,Bobby Fischer,HallB,72.25
Franky Franklin,6,175.25,Tigran Petrosian,HallB,50.25
Tyrell Wellick,7,,WALKOVER,,
Darlene Alderson,7,,WALKOVER,,
Elliot Alderson,7,,WALKOVER,,
Krista Gordon,7,,WALKOVER,,
Gideon Goddard,7,,WALKOVER,,
